Data,Investimento_Total_R$
2020-01-01,37759583.78
2020-02-01,75604298.91
2020-03-01,292759428.21999997
2020-04-01,139457073.3
2020-05-01,212009335.61
2020-06-01,141129291.4
2020-07-01,42483932.300000004
2020-08-01,41705739.449999996
2020-09-01,118928651.51
2020-10-01,151765717.5
2020-11-01,71503224.59
2020-12-01,62578163.32
2021-01-01,144396547.54
2021-02-01,86731524.57
2021-03-01,92157367.21
2021-04-01,205695910.42
2021-05-01,194448476.55
2021-06-01,193827689.59
2021-07-01,117288998.34
2021-08-01,54833780.63
2021-09-01,124002900.96
2021-10-01,168901611.59
2021-11-01,31188828.77
2021-12-01,47006014.230000004
2022-01-01,94353482.43
2022-02-01,146060596.3
2022-03-01,190334939.99
2022-04-01,167276116.63
2022-05-01,260493833.07
2022-06-01,97475259.35
2022-07-01,81479400.43
2022-08-01,198164628.65
2022-09-01,48967295.190000005
2022-10-01,235976351.08
2022-11-01,93260931.44
2022-12-01,162546714.31
2023-01-01,160041473.33
2023-02-01,112255605.21
2023-03-01,179299704.37
2023-04-01,261392097.32999998
2023-05-01,345446779.6
2023-06-01,208268189.12
2023-07-01,54675490.3
2023-08-01,16742977.27
2023-09-01,61869057.980000004
2023-10-01,288361808.28
2023-11-01,131606718.49
2023-12-01,58333266.06
2024-01-01,259358932.01
2024-02-01,132369552.16
2024-03-01,177517177.02
2024-04-01,211330196.02
2024-05-01,397177953.28
2024-06-01,216877322.3
2024-07-01,104223149.73
2024-08-01,118989650.07
2024-09-01,95681412.2
2024-10-01,314211196.86
2024-11-01,73888214.66
2024-12-01,70080134.47
2025-01-01,265394776.7
2025-02-01,31262165.89
2025-03-01,299499947.67
2025-04-01,172763108.47
2025-05-01,334772791.87
2025-06-01,216896235.68
2025-07-01,179937766.48
2025-08-01,156642618.94
2025-09-01,230802457.74
2025-10-01,238635314.76
2025-11-01,93946942.72
2025-12-01,64636144.96
