Data,Investimento_Total_R$
2020-01-01,382432.25
2020-02-01,665546.26
2020-03-01,47782999.98
2020-04-01,20555973.28
2020-05-01,77907956.11
2020-06-01,16667890.459999999
2020-07-01,3762792.16
2020-08-01,2447450.36
2020-09-01,13203180.899999999
2020-10-01,2296185.6
2020-11-01,5381987.97
2020-12-01,1483920.31
2021-01-01,2837722.5300000003
2021-02-01,17111570.42
2021-03-01,18249239.96
2021-04-01,71062996.46
2021-05-01,54825486.65
2021-06-01,37998349.91
2021-07-01,3976850.54
2021-08-01,577649.6
2021-09-01,5027612.07
2021-10-01,4886300.33
2021-11-01,1341322.34
2021-12-01,6262503.49
2022-01-01,2901308.92
2022-02-01,1181956.93
2022-03-01,50718947.37
2022-04-01,37081748.14
2022-05-01,107811027.87
2022-06-01,4180191.58
2022-07-01,3239459.07
2022-08-01,2296902.08
2022-09-01,1855676.72
2022-10-01,2197099.04
2022-11-01,4437037.07
2022-12-01,1306750.55
2023-01-01,1018030.53
2023-02-01,2254002.31
2023-03-01,59435046.07
2023-04-01,19895346.14
2023-05-01,125568970.12
2023-06-01,25828778.41
2023-07-01,5118119.68
2023-08-01,1023492.9999999999
2023-09-01,3426749.72
2023-10-01,1293626.55
2023-11-01,7424453.0600000005
2023-12-01,10574922.75
2024-01-01,4427530.05
2024-02-01,1541164.55
2024-03-01,25250913.61
2024-04-01,47247426.49
2024-05-01,153947324.96
2024-06-01,52481381.81
2024-07-01,1852304.57
2024-08-01,3096632.86
2024-09-01,3492296.9899999998
2024-10-01,1477743.62
2024-11-01,2710920.94
2024-12-01,3508948.2800000003
2025-01-01,251518.46
2025-02-01,822073.2799999999
2025-03-01,71953189.3
2025-04-01,26152925.979999997
2025-05-01,92564486.78
2025-06-01,49245803.07
2025-07-01,4520005.04
2025-08-01,1355003.4
2025-09-01,2538204.4499999997
2025-10-01,11022126.69
2025-11-01,3904972.69
2025-12-01,4254303.75
