UPA,Data_Formatada,Nota,Texto,Texto_Limpo
UPA Barreiro,2025-11-17,3.0,"Gente, a UPA estava demorando demais no atendimento, eu lá com meu marido horas esperando, morrendo de fome, e ao redor não tinha nada pra comprar pra comer. Aí encontrei duas meninas do outro lado da calçada vendendo marmite e olha a melhor marmitex que já comi na minha vida! A embalagem ainda vem com um coraçãozinho ❤️ paguei 15,00  vale cada centavo. Elas também vendem água, refrigerante etc, e são super simpáticas. Me salvaram e eu super recomendo!",gente upa demorando demais atendimento marido horas esperando morrendo fome redor nao nada pra comprar pra comer encontrei duas meninas outro lado calcada vendendo marmite olha melhor marmitex comi vida embalagem ainda vem coracaozinho paguei vale cada centavo tambem vendem agua refrigerante etc sao super simpaticas salvaram super recomendo
UPA Barreiro,2025-11-17,3.0,"Gente, a UPA estava demorando demais no atendimento, eu lá com meu marido horas esperando, morrendo de fome, e ao redor não tinha nada pra comprar pra comer. Aí encontrei duas meninas do outro lado da calçada vendendo marmite e olha a melhor marmitex que já comi na minha vida! A embalagem ainda vem com um coraçãozinho ❤️ paguei 15,00  vale cada centavo. Elas também vendem água, refrigerante etc, e são super simpáticas. Me salvaram e eu super recomendo!",gente upa demorando demais atendimento marido horas esperando morrendo fome redor nao nada pra comprar pra comer encontrei duas meninas outro lado calcada vendendo marmite olha melhor marmitex comi vida embalagem ainda vem coracaozinho paguei vale cada centavo tambem vendem agua refrigerante etc sao super simpaticas salvaram super recomendo
UPA Barreiro,2025-11-01,1.0,"Péssimo, meu pai deu entrada na Upa dia 11/06 de madrugada com o peito doendo e com sensação de ardência, caracterizando um infarto. Pedi que fizessem o exame da troponina e eles informaram que não tinha esse exame, saímos às 6:30 da manhã com o diagnóstico de uma possível esofagite, não recebeu nenhuma medicação.
Quando foi as 8:30 da manhã ele sentiu novamente essa mesma dor, então levamos ele para o hospital Julia Kubitschek, lá foi feito o exame da troponina que deu uma alteração de mais de 300 indicando que meu pai estava tendo um infarto, ele foi para o CTI e foi transferido para a Santa Casa, onde foi feito 2 cateterismo nele. O infarto foi tão forte que o exame da troponina chegou a 18.000 e meu pai perdeu 1/4 do coração. Graças a Deus não aconteceu o pior. Pela Upa do Diamante meu pai estaria morto.",pessimo pai deu entrada upa dia madrugada peito doendo sensacao ardencia caracterizando infarto pedi fizessem exame troponina informaram nao exame saimos manha diagnostico possivel esofagite nao recebeu nenhuma medicacao manha sentiu novamente mesma dor entao levamos hospital julia kubitschek feito exame troponina deu alteracao indicando pai tendo infarto cti transferido santa casa onde feito cateterismo nele infarto tao forte exame troponina chegou pai perdeu coracao gracas deus nao aconteceu pior upa diamante pai estaria morto
UPA Barreiro,2025-11-01,1.0,"Péssimo, meu pai deu entrada na Upa dia 11/06 de madrugada com o peito doendo e com sensação de ardência, caracterizando um infarto. Pedi que fizessem o exame da troponina e eles informaram que não tinha esse exame, saímos às 6:30 da manhã com o diagnóstico de uma possível esofagite, não recebeu nenhuma medicação.
Quando foi as 8:30 da manhã ele sentiu novamente essa mesma dor, então levamos ele para o hospital Julia Kubitschek, lá foi feito o exame da troponina que deu uma alteração de mais de 300 indicando que meu pai estava tendo um infarto, ele foi para o CTI e foi transferido para a Santa Casa, onde foi feito 2 cateterismo nele. O infarto foi tão forte que o exame da troponina chegou a 18.000 e meu pai perdeu 1/4 do coração. Graças a Deus não aconteceu o pior. Pela Upa do Diamante meu pai estaria morto.",pessimo pai deu entrada upa dia madrugada peito doendo sensacao ardencia caracterizando infarto pedi fizessem exame troponina informaram nao exame saimos manha diagnostico possivel esofagite nao recebeu nenhuma medicacao manha sentiu novamente mesma dor entao levamos hospital julia kubitschek feito exame troponina deu alteracao indicando pai tendo infarto cti transferido santa casa onde feito cateterismo nele infarto tao forte exame troponina chegou pai perdeu coracao gracas deus nao aconteceu pior upa diamante pai estaria morto
UPA Barreiro,2025-09-02,5.0,"Na última semana precisei levar meu filho na emergência. Fomos atendidos com agilidade e precisão. Graças ao excelente atendimento prestado pela equipe de pediatria meu filho está bem. Tenho plano de saúde e posso dizer com propriedade que a emergência da UPA não perde em nada para a emergência de hospitais particulares como o materdai por exemplo. Agradeço a equipe da pediatria por ter cuidado tão bem do meu filho, vocês estão de parabéns!",ultima semana precisei levar filho emergencia atendidos agilidade precisao gracas excelente atendimento prestado equipe pediatria filho bem plano saude posso dizer propriedade emergencia upa nao perde nada emergencia hospitais particulares materdai exemplo agradeco equipe pediatria cuidado tao bem filho voces estao parabens
UPA Barreiro,2025-09-02,5.0,"Na última semana precisei levar meu filho na emergência. Fomos atendidos com agilidade e precisão. Graças ao excelente atendimento prestado pela equipe de pediatria meu filho está bem. Tenho plano de saúde e posso dizer com propriedade que a emergência da UPA não perde em nada para a emergência de hospitais particulares como o materdai por exemplo. Agradeço a equipe da pediatria por ter cuidado tão bem do meu filho, vocês estão de parabéns!",ultima semana precisei levar filho emergencia atendidos agilidade precisao gracas excelente atendimento prestado equipe pediatria filho bem plano saude posso dizer propriedade emergencia upa nao perde nada emergencia hospitais particulares materdai exemplo agradeco equipe pediatria cuidado tao bem filho voces estao parabens
UPA Barreiro,2025-09-02,1.0,"Péssimo atendimento estive na upa no dia 18/04, para atendimento com acidente de material biológico.
Atendimento médico demorado para chamar depois da Triagem, exames com mais de 3 horas para sair resultado.
Fora ter que ficar na cola da médica perguntando se o resultado saiu porque a mesma não chamava.
Cheguei na Upa as 12:00 e meu atendimento ainda não foi finalizado.",pessimo atendimento upa dia atendimento acidente material biologico atendimento medico demorado chamar triagem exames horas sair resultado ficar cola medica perguntando resultado saiu porque mesma nao chamava cheguei upa atendimento ainda nao finalizado
UPA Barreiro,2025-09-02,1.0,"Péssimo atendimento estive na upa no dia 18/04, para atendimento com acidente de material biológico.
Atendimento médico demorado para chamar depois da Triagem, exames com mais de 3 horas para sair resultado.
Fora ter que ficar na cola da médica perguntando se o resultado saiu porque a mesma não chamava.
Cheguei na Upa as 12:00 e meu atendimento ainda não foi finalizado.",pessimo atendimento upa dia atendimento acidente material biologico atendimento medico demorado chamar triagem exames horas sair resultado ficar cola medica perguntando resultado saiu porque mesma nao chamava cheguei upa atendimento ainda nao finalizado
UPA Barreiro,2025-08-03,5.0,"Meu filho teve uma convulsão na escolinha no bairro diamante, ele tem 1,2 anos, por mais que eu tenha planos de saúde lá era o hospital mais próximo. E no sufoco corri pra lá com ele. Passei direto com ele pro atendimento e foi imediato na pediatria, fizeram tudo pra estabilizar ele e agora com ele estava estamos investigando o que houve. Parabéns a equipe de pediatria que foi sensacional...",filho convulsao escolinha bairro diamante anos planos saude hospital proximo sufoco corri pra passei direto pro atendimento imediato pediatria fizeram tudo pra estabilizar agora investigando parabens equipe pediatria sensacional
UPA Barreiro,2025-08-03,5.0,"Meu filho teve uma convulsão na escolinha no bairro diamante, ele tem 1,2 anos, por mais que eu tenha planos de saúde lá era o hospital mais próximo. E no sufoco corri pra lá com ele. Passei direto com ele pro atendimento e foi imediato na pediatria, fizeram tudo pra estabilizar ele e agora com ele estava estamos investigando o que houve. Parabéns a equipe de pediatria que foi sensacional...",filho convulsao escolinha bairro diamante anos planos saude hospital proximo sufoco corri pra passei direto pro atendimento imediato pediatria fizeram tudo pra estabilizar agora investigando parabens equipe pediatria sensacional
